seignors	seignor	NOMcom	NOMB.=p|GENRE=m|CAS=n
ore	or4	ADVgen	DEGRE=-
escutez	escouter	VERcjg	MODE=imp|PERS.=2|NOMB.=p
qui	que4	CONsub	MORPH=empty
deu	Dieu	NOMpro	NOMB.=s|GENRE=m|CAS=n
vus	vos	PROper	PERS.=2|NOMB.=p|GENRE=m|CAS=i
set	estre1	VERcjg	MODE=sub|TEMPS=pst|PERS.=3|NOMB.=s
ami	ami	NOMcom	NOMB.=s|GENRE=m|CAS=n
treis	trois	DETcar	NOMB.=p|GENRE=m|CAS=r
vers	vers1	NOMcom	NOMB.=p|GENRE=m|CAS=r
de	de	PRE	MORPH=empty
bone	bon	ADJqua	NOMB.=s|GENRE=f|CAS=r|DEGRE=p
estoire	estoire1	NOMcom	NOMB.=s|GENRE=f|CAS=r
si	si	ADVgen	DEGRE=-
je	je	PROper	PERS.=1|NOMB.=s|GENRE=m|CAS=n
lor	il	PROper	PERS.=3|NOMB.=p|GENRE=m|CAS=r
vos	vos	PROper	PERS.=2|NOMB.=p|GENRE=m|CAS=i
devis	deviser	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
del	de+le	PRE.DETdef	NOMB.=s|GENRE=m|CAS=r
primer	premier	ADJord	NOMB.=s|GENRE=m|CAS=r
rei	roi2	NOMcom	NOMB.=s|GENRE=m|CAS=r
de	de	PRE	MORPH=empty
france	France	NOMpro	NOMB.=s|GENRE=f|CAS=r
que	qui	PROrel	NOMB.=s|GENRE=m|CAS=n
crestïens	crestiien	NOMcom	NOMB.=s|GENRE=m|CAS=n
devint	devenir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
cil	cel	PROdem	NOMB.=s|GENRE=m|CAS=n
out	avoir	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
nun	nom	NOMcom	NOMB.=s|GENRE=m|CAS=r
Cloovis	Clovis	NOMpro	NOMB.=s|GENRE=m|CAS=r
se	si	ADVgen	DEGRE=-
cumme	come1	CONsub	MORPH=empty
truis	trover	VERcjg	MODE=ind|TEMPS=pst|PERS.=1|NOMB.=s
en	en1	PRE	MORPH=empty
escrit	escrit	NOMcom	NOMB.=s|GENRE=m|CAS=r
plus	plus	ADVgen	DEGRE=-
de	de	PRE	MORPH=empty
vint	vint	DETcar	NOMB.=p|GENRE=m|CAS=r
e	et	CONcoo	MORPH=empty
VI	sis2	DETcar	NOMB.=p|GENRE=m|CAS=r
anz	an	NOMcom	NOMB.=p|GENRE=m|CAS=r
fust	estre1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
Le	le	DETdef	NOMB.=s|GENRE=m|CAS=n
rei	roi2	NOMcom	NOMB.=s|GENRE=m|CAS=n
saracin	Sarrasin	NOMpro	NOMB.=p|GENRE=m|CAS=n
e	et	CONcoo	MORPH=empty
n	ne1	ADVneg	MORPH=empty
truva	trover	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
nul	nul	DETind	NOMB.=s|GENRE=m|CAS=r
homme	ome	NOMcom	NOMB.=s|GENRE=m|CAS=r
si	se	CONsub	MORPH=empty
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
en	en1	PRE	MORPH=empty
deu	Dieu	NOMpro	NOMB.=s|GENRE=m|CAS=r
créist	croire	VERcjg	MODE=sub|TEMPS=ipf|PERS.=3|NOMB.=s
qu	que4	CONsub	MORPH=empty
il	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=n
ni	ne1	ADVneg	MORPH=empty
volsist	voloir	VERcjg	MODE=sub|TEMPS=ipf|PERS.=3|NOMB.=s
ocir	ocire	VERinf	MORPH=empty
et	et	CONcoo	MORPH=empty
lé	le	DETdef	NOMB.=p|GENRE=m|CAS=r
membre	membre	NOMcom	NOMB.=p|GENRE=m|CAS=r
tolir	tolir	VERinf	MORPH=empty
u	o3	CONcoo	MORPH=empty
pandre	pendre	VERinf	MORPH=empty
en	en1	PRE	MORPH=empty
haltes	haut	ADJqua	NOMB.=p|GENRE=f|CAS=r|DEGRE=p
furches	forche	NOMcom	NOMB.=p|GENRE=f|CAS=r
u	o3	CONcoo	MORPH=empty
detrare	detraire	VERinf	MORPH=empty
a	a3	PRE	MORPH=empty
rroncins	roncin	NOMcom	NOMB.=p|GENRE=m|CAS=r
dampnedeu	Damnedeu	NOMpro	NOMB.=s|GENRE=m|CAS=n
l	il	PROper	PERS.=3|NOMB.=s|GENRE=m|CAS=r
amai	amer1	VERcjg	MODE=ind|TEMPS=psp|PERS.=3|NOMB.=s
tant	tant	ADVgen	DEGRE=-
le	le	DETdef	NOMB.=s|GENRE=m|CAS=n
